"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1027133","0","CO OPEPYS COMMUNITY ARTS PROJECT","CO-OPEPYS COMMUNITY ARTS PROJECT, 1 A, DAUBENEY TOWER, BOWDITCH, PEPYS ESTATE, LONDON","SE8 3QN","Lewisham, Deptford","02086924415","coopepys@gmail.com","http://coopepys.org","31/03/2020","0.0","246.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","To promote, maintain, improve and advance the education of the residents of Pepys Estate, Trinity Estate, Deptford Wharf and Deptford Park in particular the promotion of educational drama and other fine arts, also including photography, painting, performances, dance, singing, music, installations and graphic design.","(A) TO PROMOTE, MAINTAIN, IMPROVE AND ADVANCE THE EDUCATION OF THE RESIDENTS OF PEPYS ESTATE, TRINITY ESTATE, DEPTFORD WHARF AND DEPTFORD PARK IN PARTICULAR THE PROMOTION OF EDUCATIONAL DRAMA AND OTHER FINE ARTS INCLUDING THE ARTS OF DRAMA, MIME, DRAMATIC IMPROVISATION, LITERATURE, DANCE, SINGING AND MUSIC. (B) TO PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION OR OTHER LEISURE-TIME OCCUPATION IN THE INTERESTS OF SOCIAL WELFARE FOR THE SAID INHABITANTS WITH THE OBJECT OF IMPROVING THEIR CONDITIONS OF LIFE, IN FURTHERANCE OF THE ABOVE BUT NOT OTHERWISE"
"1123999","0","POPE JOHNS SECONDARY & JUNIOR SEMINARY OLD STUDENTS ASSOCIATION","41 WARENFORD WAY, BOREHAMWOOD","WD6 5ER","Hertsmere","02089534527","mannybek@yahoo.co.uk","","31/03/2020","5030.0","1669.0","Registered","Other","Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Other Charitable Activities","General Charitable Purposes, Education/training, Overseas Aid/famine Relief, Religious Activities, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","Pojoba Uk assisted financially in putting up a special gate at the school's main entrance as part of projects lined up to mark the 50th annivesary of the school. This was financed through donations and money received during activities organised by the association. The project is now completed and we can proudly boast about it and hope to continue embarking on other similar projects in the future.","TO ADVANCE THE EDUCATION OF PUPILS ATTENDING POPE JOHN SECONDARY SCHOOL AND JUNIOR SEMINARY BY SPONSORING VISITING TEACHERS AND SCHOLARS WHO WILL TRAVEL TO GHANA TO ASSIST WITH THEIR EDUCATION AND BY OFFERING SCHOLARSHIPS TO EXCEPTIONAL STUDENTS WHO COME FROM A POOR FINANCIAL BACKGROUND TO STUDY AT POPE JOHN SECONDARY SCHOOL AND JUNIOR SEMINARY."
"1108552","0","GARGAAR SOMALI WELFARE ASSOCIATION","COMMUNITY HOUSE, 311 FORE STREET, LONDON","N9 0PZ","Edmonton","02083736375","mdini55@hotmail.com","","30/04/2020","1800.0","2539.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities","-To provide advice & information for Somali community, Housing, benefit & Health.-To advance education such as language classes and homework assistance.-To provide Recreational facilities for youth such as sports, cultural heritage & arts.-To provide drop in actities for Somali elders (as physical exercise & awareness for health).- Relieve poverty- Infrastructural support & regeneration","A)	TO RELIEVE POVERTY AND DISTRESS OF THE SOMALI COMMUNITY IN THE UNITED KINGDOM AND OVERSEAS (THE BENEFICIARIES) BY THE PROVISION OF ADVICE, ADVOCACY, COUNSELLING AND TRANSLATION SERVICES IN MATTERS SUCH AS HEALTH, WELFARE, BENEFITS AND HOUSING AND BY FACILITATING COMMUNITY ACCESS  TO OTHER SUPPORT PROVIDERS SUCH AS ON IMMIGRATION MATTERS.
B)	TO ADVANCE THE EDUCATION OF THE BENEFICIARIES PARTICULARLY BY FACILITATING THE PROVISION OF AND ACCESS TO LANGUAGE CLASSES AND OTHER FORMS AND TRAINING AND EDUCATION.
C)	THE PROVISION IN THE INTEREST OF SOCIAL WELFARE OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE BENEFICIARIES CONDITIONS OF LIFE."
"1091410","0","ALGERIAN BRITISH CONNECTION (ABC)","80 CALEDONIAN ROAD, ISLINGTON, LONDON","N1 9DN","Islington South and Finsbury","","algerianbritishconnection@yahoo.co.uk","","31/03/2017","5913.0","11111.0","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, Disability, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Our mission is to facilitate the integration of the Algerian community and people with the same background into the British society. ABC offers a range of educational and cultural activities including Arabic, music, traditional art & craft workshops. ABC also offers business advice. ABC participates in several events during the year introducing Algerian culture to the wider public.","TO ADVANCE THE EDUCATION OF THE PUBLIC OF BOTH THE UNITED KINGDOM AND ALGERIA IN THEIR RESPECTIVE LANGUAGES, CULTURE, ARTS, HISTORY AND RELATED SUBJECTS""."
"1138949","0","THE SAFERA FOUNDATION","6 INGLEBY DRIVE, HARROW","HA1 3LE","Harrow West","02088435400","","","31/10/2020","413115.0","1298196.0","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","The charity's income is derived from gift aid provided by Mr F.T. Suterwalla, who is also a trustee of the trust. The gift aid received is for general charitable purposes. The trustees than selected various charitable organisations who are themselves registered charities and groups of people involved in charitable activities and made gifts and donations to them.","THE ADVANCEMENT OF SUCH CHARITABLE PURPOSE OR PURPOSES AND/OR THE SUPPORT OF SUCH CHARITABLE INSTITUTION OR INSTITUTIONS IN ANY PART OF THE WORLD AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION FROM TIME TO TIME SELECT, AND IN SUCH MANNER AS THE TRUSTEES FROM TIME TO TIME DETERMINE"
"1148448","0","V4U UK LTD","32 Green Lane, New Malden","KT3 5BU","Kingston and Surbiton","02085697622","ahilan@ahilan.co.uk","www.v4uuk.org","31/12/2019","27994.0","24128.0","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","We perceive our vision as relieving poverty and implementing sustainable development for people affected by the civil war in Sri Lanka.  Deprived parts of this community in Sri Lanka and the UK will be supported by financing home farming or cottage industry projects, education, sports and training facilities, safe water supplies and promotion of sustainable environments (waste recycling).","TO ADVANCE EDUCATION,RELIEVE POVERTY AND RELIEVE ANY PHYSICAL,MENTAL OR EMOTIONAL ILLNESS DISORDER OR DISABILITY AMONG THE SRI LANKAN COMMUNITY BOTH IN THE UK AND INTERNATIONALLY"
"1143425","0","ZUMUNTAH ASSOCIATION (UK)","35 GIVEN WILSON WALK, LONDON","E13 0EB","West Ham","07903715446","info@zumuntahassociationuk.org","www.zumuntahassociationuk.org","31/08/2019","19644.0","21195.0","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Religious Activities, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Friday (Jummah) prayer and sermon in English, conducting Islamic marriages, Aqeeqa (naming) ceremonies, monthly Qur???anic recitations, Qur???anic Tafsir during Ramadan, conducting Janazah and funeral prayers, Iftar during Ramadan, Taraweeh prayers, Tahajjud prayers during Ramadan and social and cultural activities.","1)TO ADVANCE THE ISLAMIC RELIGION IN THE LONDON BOROUGH OF NEWHAM AND THE SURROUNDING AREA FOR THE BENEFIT OF THE PUBLIC THROUGH THE HOLDING OF PRAYER MEETINGS, LECTURES, PUBLIC CELEBRATION OF RELIGIOUS FESTIVALS, PRODUCING AND/OR DISTRIBUTING LITERATURE ON ISLAMIC RELIGION TO ENLIGHTEN OTHERS ABOUT THE PEACEFUL TEACHING OF ISLAM.

2)THE RELIEF OF SICKNESS AND THE PRESERVATION OF HEALTH AMONG PEOPLE LIVING IN THE LONDON BOROUGH OF NEWHAM BY SUCH MEANS AS THE TRUSTEES MAY DETERMINE.

3)SUCH CHARITABLE PURPOSES FOR THE PUBLIC BENEFIT AS ARE EXCLUSIVELY CHARITABLE ACCORDING TO THE LAWS OF ENGLAND AND WALES AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE."
"1152738","0","CHRIST GOSPEL ASSEMBLY","THE LIGHTHOUSE, 164  Dock Road,, Tilbury, Tilbury","RM18 7BS","Thurrock","01375844355","christgospelassembly@hotmail.co.uk","christgospelassembly.org","31/12/2020","65921.0","40011.0","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Religious OrganisationSeminar and community Services","I.	TO ADVANCE THE CHRISTIAN FAITH IN SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE DIRECTORS MAY FROM TIME TO TIME THINK FIT AND
II.	TO RELIEVE SICKNESS AND FINANCIAL HARDSHIP AND TO PROMOTE AND PRESERVE GOOD HEALTH BY THE PROVISION OF FUNDS, GOODS OR SERVICES OF ANY KIND INCLUDING THROUGH THE PROVISION OF COUNSELLING AND SUPPORT IN SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE DIRECTORS FROM TIME TO TIME THINK FIT."
"290838","0","WEST LONDON BANGLADESH WELFARE ASSOCIATION","3 SPUR ROAD, BUSCH CORNER, ISLEWORTH, MIDDLESEX","TW7 5BD","Brentford and Isleworth","07939251366","westlondon.bwa@gmail.com","www.wlbwa.co.uk","31/03/2020","1465.0","60.0","Registered","Other","Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Advice, Infrmation 
Elderly Preoject 
Mother Tongue Bengali Classes
Education and Training
Sports and Receration (Cultural Avctivities)
Community net works","(1)	THE ADVANCEMENT OF RELIGION, IN PARTICULAR BY THE PROVISION OF ADVICE AND INFORMATION TO SUPPORT THE UNDERSTANDING OF RELIGION INCLUDING ISLAM       
(2)	THE ADVANCEMENT OF EDUCATION
(3) 	THE RELIEF OF POVERTY AND SICKNESS
(4) 	THE PROVISION OF RECREATIONAL FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR PERSONS HAVING NEED OF THE FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT OR SOCIAL AND ECONOMIC CIRCUMSTANCES IN ORDER THAT THEIR CONDITIONS OF LIFE MAY BE IMPROVED.
(5)	TO ADVANCE ANY OTHER CHARITABLE PURPOSE."
"1160232","0","ELIKIA-AFRICA","DALTON HOUSE, 60 WINDSOR AVENUE, LONDON","SW19 2RR","Wimbledon","08000856818","info@elikia-africa.org","elikia-africa.org","31/12/2017","7711.0","5087.0","Registered","CIO","Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","ELIKIA-AFRICA IS WORKING TO EMPOWER AFRICAN YOUTH BY: GIVING THEM A BETTER EDUCATION AND PROMOTE ENTREPRENEURIAL SKILLS, FACILITATING ACCESS TO INFORMATION BY DEVELOPING ICT AND INNOVATIVE SKILLS, BRIDGING THE DIGITAL GAP, INSPIRING THEM TO CREATE JOBS AND BE ACTORS OF ECONOMIC DEVELOPMENT IN AFRICA. ELIKIA-AFRICA WILL ALSO WORK WITH YOUNG PEOPLE IN THE UK AND EUROPE AND PROMOTE AFRICAN CULTURE.","1) TO ACT AS A RESOURCE FOR YOUNG PEOPLE LIVING IN THE UK, EUROPE AND AFRICA BY PROVIDING ADVICE AND ASSISTANCE AND ORGANISING PROGRAMMES OF PHYSICAL, EDUCATIONAL AND OTHER ACTIVITIES AS A MEANS OF: 
(A) ADVANCING IN LIFE AND HELPING YOUNG PEOPLE BY DEVELOPING THEIR SKILLS, CAPACITIES AND CAPABILITIES TO ENABLE THEM TO PARTICIPATE IN SOCIETY AS INDEPENDENT, MATURE AND RESPONSIBLE INDIVIDUALS;
(B) ADVANCING EDUCATION;
(C) RELIEVING UNEMPLOYMENT;
(D) PROVIDING RECREATIONAL AND LEISURE TIME ACTIVITY IN THE INTERESTS OF SOCIAL WELFARE FOR PEOPLE LIVING IN THE AREA OF BENEFIT WHO HAVE NEED BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABILITY, POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES WITH A VIEW TO IMPROVING THE CONDITIONS OF LIFE OF SUCH PERSONS; AND
2) TO SUPPORT SUCH OTHER CHARITABLE PURPOSES TO HELP THOSE WHO ARE SOCIALLY OR ECONOMICALLY DISADVANTAGED AS THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION DETERMINE."
"1122839","0","ALLANA CHARITY LTD","56 PRENTIS ROAD, LONDON","SW16 1QD","Streatham","02086770638","am@mukadam.co.uk","www.allanacharity.co.uk","30/11/2020","30873.0","28561.0","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","current activities are as laid out in the memorandum of articles with activities now included to help certain educational activities in united kingdom. Supporting Educational activities and providing medical aid in South East Asia,sub Saharan Africa and areas of conflict around the world.Providing help to UK based charities and individuals with Funeral expenses.","TO PROMOTE CHILD WELFARE
TO PROMOTE UPTAKE OF IMMUNISATIONS IN CHILDREN
TO SUPPORT WITH MEDICAL AND EDUCATIONAL COST OF CHILDREN
TO PROMOTE ENGLISH LANGUAGE EDUCATION IN SOUTH EAST ASIAN COUNTRIES AND SUB-SAHARAN AFRICA.
HELP AND PROVIDE CLEAN DRINKING WATER TO THE NEEDY.
TO PROMOTE ECO FRIENDLY PROJECTS IN THIRD WORLD COUNTRIES."
"1136323","0","NORWOOD COMMUNITY GROUP SERVICES LIMITED","35B, HAINTHORPE ROAD, WEST NORWOOD, LONDON, LAMBETH","SE27 0PL","Dulwich and West Norwood","07931919585","info@norwoodcommunitygroup.co.uk","www.norwoodcommunitygroup.co.uk","31/03/2020","14480.0","14075.0","Registered","Charitable company","Makes Grants To Individuals, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Mentoring - guidance and advice
Training: Security/CCTV and level 2 Award in Door Supervison.
Five a side indoor football:skills training
Karate: discipline 
Projects include: women's keep fit, arts& crafts, and educational workshops
Parenting workshops","TO FURTHER BENEFIT THE RESIDENTS OF LAMBETH AND SURROUNDING AREAS WITHOUT DISTINCTION OF SEX, SEXUAL ORIENTATION, RACE OR POLITICAL RELIGIOUS OR OTHER OPINIONS BY ASSOCIATING  TOGETHER THE SAID RESIDENTS AND LOCAL AUTHORITIES VOLUNTARY AND OTHER ORGANISATIONS IN A COMMON EFFORT TO ADVANCE, EDUCATE AND TO PROVIDE FACILITIES IN THE INTEREST OF SOCIAL WELFARE FOR RECREATION LEISURE TIME OCCUPATION WITH THE OBJECTIVE OF IMPROVING THE CONDITIONS OF LIFE FOR THE RESIDENTS"
